o_bor,d_bor,occ_type,count,is_prof
Barking and Dagenham,Barking and Dagenham,1_managers_senior,798,TRUE
Barking and Dagenham,Barking and Dagenham,2_professional,1437,TRUE
Barking and Dagenham,Barking and Dagenham,3_associate_professional,967,TRUE
Barking and Dagenham,Barking and Dagenham,4_administrative,1978,FALSE
Barking and Dagenham,Barking and Dagenham,5_trade,1125,FALSE
Barking and Dagenham,Barking and Dagenham,6_caring_leisure,2420,FALSE
Barking and Dagenham,Barking and Dagenham,7_sales_customer,1598,FALSE
Barking and Dagenham,Barking and Dagenham,8_machine_operatives,1526,FALSE
Barking and Dagenham,Barking and Dagenham,9_elementary,2801,FALSE
Barking and Dagenham,Barnet,1_managers_senior,28,TRUE
Barking and Dagenham,Barnet,2_professional,60,TRUE
Barking and Dagenham,Barnet,3_associate_professional,22,TRUE
Barking and Dagenham,Barnet,4_administrative,27,FALSE
Barking and Dagenham,Barnet,5_trade,30,FALSE
Barking and Dagenham,Barnet,6_caring_leisure,34,FALSE
Barking and Dagenham,Barnet,7_sales_customer,15,FALSE
Barking and Dagenham,Barnet,8_machine_operatives,38,FALSE
Barking and Dagenham,Barnet,9_elementary,26,FALSE
Barking and Dagenham,Bexley,1_managers_senior,11,TRUE
Barking and Dagenham,Bexley,2_professional,16,TRUE
Barking and Dagenham,Bexley,3_associate_professional,14,TRUE
Barking and Dagenham,Bexley,4_administrative,13,FALSE
Barking and Dagenham,Bexley,5_trade,37,FALSE
Barking and Dagenham,Bexley,6_caring_leisure,10,FALSE
Barking and Dagenham,Bexley,7_sales_customer,5,FALSE
Barking and Dagenham,Bexley,8_machine_operatives,19,FALSE
Barking and Dagenham,Bexley,9_elementary,30,FALSE
Barking and Dagenham,Brent,1_managers_senior,16,TRUE
Barking and Dagenham,Brent,2_professional,57,TRUE
Barking and Dagenham,Brent,3_associate_professional,45,TRUE
Barking and Dagenham,Brent,4_administrative,19,FALSE
Barking and Dagenham,Brent,5_trade,19,FALSE
Barking and Dagenham,Brent,6_caring_leisure,34,FALSE
Barking and Dagenham,Brent,7_sales_customer,27,FALSE
Barking and Dagenham,Brent,8_machine_operatives,38,FALSE
Barking and Dagenham,Brent,9_elementary,35,FALSE
Barking and Dagenham,Bromley,1_managers_senior,9,TRUE
Barking and Dagenham,Bromley,2_professional,12,TRUE
Barking and Dagenham,Bromley,3_associate_professional,15,TRUE
Barking and Dagenham,Bromley,4_administrative,9,FALSE
Barking and Dagenham,Bromley,5_trade,22,FALSE
Barking and Dagenham,Bromley,6_caring_leisure,0,FALSE
Barking and Dagenham,Bromley,7_sales_customer,10,FALSE
Barking and Dagenham,Bromley,8_machine_operatives,11,FALSE
Barking and Dagenham,Bromley,9_elementary,16,FALSE
Barking and Dagenham,Camden,1_managers_senior,141,TRUE
Barking and Dagenham,Camden,2_professional,386,TRUE
Barking and Dagenham,Camden,3_associate_professional,254,TRUE
Barking and Dagenham,Camden,4_administrative,392,FALSE
Barking and Dagenham,Camden,5_trade,117,FALSE
Barking and Dagenham,Camden,6_caring_leisure,120,FALSE
Barking and Dagenham,Camden,7_sales_customer,158,FALSE
Barking and Dagenham,Camden,8_machine_operatives,83,FALSE
Barking and Dagenham,Camden,9_elementary,204,FALSE
Barking and Dagenham,City of London,1_managers_senior,204,TRUE
Barking and Dagenham,City of London,2_professional,467,TRUE
Barking and Dagenham,City of London,3_associate_professional,451,TRUE
Barking and Dagenham,City of London,4_administrative,889,FALSE
Barking and Dagenham,City of London,5_trade,148,FALSE
Barking and Dagenham,City of London,6_caring_leisure,82,FALSE
Barking and Dagenham,City of London,7_sales_customer,161,FALSE
Barking and Dagenham,City of London,8_machine_operatives,46,FALSE
Barking and Dagenham,City of London,9_elementary,374,FALSE
Barking and Dagenham,Croydon,1_managers_senior,5,TRUE
Barking and Dagenham,Croydon,2_professional,17,TRUE
Barking and Dagenham,Croydon,3_associate_professional,8,TRUE
Barking and Dagenham,Croydon,4_administrative,16,FALSE
Barking and Dagenham,Croydon,5_trade,19,FALSE
Barking and Dagenham,Croydon,6_caring_leisure,15,FALSE
Barking and Dagenham,Croydon,7_sales_customer,2,FALSE
Barking and Dagenham,Croydon,8_machine_operatives,11,FALSE
Barking and Dagenham,Croydon,9_elementary,17,FALSE
Barking and Dagenham,Ealing,1_managers_senior,25,TRUE
Barking and Dagenham,Ealing,2_professional,34,TRUE
Barking and Dagenham,Ealing,3_associate_professional,35,TRUE
Barking and Dagenham,Ealing,4_administrative,11,FALSE
Barking and Dagenham,Ealing,5_trade,32,FALSE
Barking and Dagenham,Ealing,6_caring_leisure,31,FALSE
Barking and Dagenham,Ealing,7_sales_customer,22,FALSE
Barking and Dagenham,Ealing,8_machine_operatives,25,FALSE
Barking and Dagenham,Ealing,9_elementary,35,FALSE
Barking and Dagenham,Enfield,1_managers_senior,60,TRUE
Barking and Dagenham,Enfield,2_professional,112,TRUE
Barking and Dagenham,Enfield,3_associate_professional,49,TRUE
Barking and Dagenham,Enfield,4_administrative,33,FALSE
Barking and Dagenham,Enfield,5_trade,83,FALSE
Barking and Dagenham,Enfield,6_caring_leisure,43,FALSE
Barking and Dagenham,Enfield,7_sales_customer,48,FALSE
Barking and Dagenham,Enfield,8_machine_operatives,130,FALSE
Barking and Dagenham,Enfield,9_elementary,95,FALSE
Barking and Dagenham,Greenwich,1_managers_senior,39,TRUE
Barking and Dagenham,Greenwich,2_professional,63,TRUE
Barking and Dagenham,Greenwich,3_associate_professional,49,TRUE
Barking and Dagenham,Greenwich,4_administrative,40,FALSE
Barking and Dagenham,Greenwich,5_trade,51,FALSE
Barking and Dagenham,Greenwich,6_caring_leisure,29,FALSE
Barking and Dagenham,Greenwich,7_sales_customer,43,FALSE
Barking and Dagenham,Greenwich,8_machine_operatives,49,FALSE
Barking and Dagenham,Greenwich,9_elementary,49,FALSE
Barking and Dagenham,Hackney,1_managers_senior,105,TRUE
Barking and Dagenham,Hackney,2_professional,266,TRUE
Barking and Dagenham,Hackney,3_associate_professional,159,TRUE
Barking and Dagenham,Hackney,4_administrative,195,FALSE
Barking and Dagenham,Hackney,5_trade,89,FALSE
Barking and Dagenham,Hackney,6_caring_leisure,127,FALSE
Barking and Dagenham,Hackney,7_sales_customer,79,FALSE
Barking and Dagenham,Hackney,8_machine_operatives,75,FALSE
Barking and Dagenham,Hackney,9_elementary,133,FALSE
Barking and Dagenham,Hammersmith and Fulham,1_managers_senior,43,TRUE
Barking and Dagenham,Hammersmith and Fulham,2_professional,96,TRUE
Barking and Dagenham,Hammersmith and Fulham,3_associate_professional,57,TRUE
Barking and Dagenham,Hammersmith and Fulham,4_administrative,75,FALSE
Barking and Dagenham,Hammersmith and Fulham,5_trade,19,FALSE
Barking and Dagenham,Hammersmith and Fulham,6_caring_leisure,40,FALSE
Barking and Dagenham,Hammersmith and Fulham,7_sales_customer,33,FALSE
Barking and Dagenham,Hammersmith and Fulham,8_machine_operatives,28,FALSE
Barking and Dagenham,Hammersmith and Fulham,9_elementary,42,FALSE
Barking and Dagenham,Haringey,1_managers_senior,60,TRUE
Barking and Dagenham,Haringey,2_professional,61,TRUE
Barking and Dagenham,Haringey,3_associate_professional,49,TRUE
Barking and Dagenham,Haringey,4_administrative,58,FALSE
Barking and Dagenham,Haringey,5_trade,37,FALSE
Barking and Dagenham,Haringey,6_caring_leisure,34,FALSE
Barking and Dagenham,Haringey,7_sales_customer,33,FALSE
Barking and Dagenham,Haringey,8_machine_operatives,94,FALSE
Barking and Dagenham,Haringey,9_elementary,42,FALSE
Barking and Dagenham,Harrow,1_managers_senior,7,TRUE
Barking and Dagenham,Harrow,2_professional,15,TRUE
Barking and Dagenham,Harrow,3_associate_professional,8,TRUE
Barking and Dagenham,Harrow,4_administrative,4,FALSE
Barking and Dagenham,Harrow,5_trade,7,FALSE
Barking and Dagenham,Harrow,6_caring_leisure,7,FALSE
Barking and Dagenham,Harrow,7_sales_customer,5,FALSE
Barking and Dagenham,Harrow,8_machine_operatives,3,FALSE
Barking and Dagenham,Harrow,9_elementary,4,FALSE
Barking and Dagenham,Havering,1_managers_senior,368,TRUE
Barking and Dagenham,Havering,2_professional,797,TRUE
Barking and Dagenham,Havering,3_associate_professional,457,TRUE
Barking and Dagenham,Havering,4_administrative,870,FALSE
Barking and Dagenham,Havering,5_trade,485,FALSE
Barking and Dagenham,Havering,6_caring_leisure,839,FALSE
Barking and Dagenham,Havering,7_sales_customer,1175,FALSE
Barking and Dagenham,Havering,8_machine_operatives,515,FALSE
Barking and Dagenham,Havering,9_elementary,1048,FALSE
Barking and Dagenham,Hillingdon,1_managers_senior,3,TRUE
Barking and Dagenham,Hillingdon,2_professional,14,TRUE
Barking and Dagenham,Hillingdon,3_associate_professional,23,TRUE
Barking and Dagenham,Hillingdon,4_administrative,7,FALSE
